Dias do Mês,Temp. Máxima,Temp. Média Comp.,Temp. Mínima
1,21.3,18.6,16.1
2,23.1,19.5,16.3
3,26.2,20.7,17.2
4,22.4,20.6,19.2
5,21.8,19.5,18.1
6,24.8,19.9,18.1
7,21.6,19.4,17.5
8,24.8,20.2,17.8
9,23.4,20.6,18.5
10,26.3,21.3,18.7
11,24.4,21,19
12,24.2,21.1,19
13,24.6,21.1,19.1
14,26.9,22.6,20
15,30.9,25.8,21.7
16,26.8,23.7,22.4
17,23.1,21.1,19.7
18,23.8,21.3,19.8
19,21.5,19.6,17.4
20,20.8,18.8,17
21,22.4,18.8,16
22,24.2,19.9,17.3
23,24.9,20.7,18.7
24,25.8,20.8,17.4
25,25.3,21.6,18.7
26,27.9,22.8,18.8
27,32.2,27.1,22.2
28,28.5,19.7,19.4
29,18.3,17,16
30,19,17.6,16
31,21,19.4,15.9

