"Dias do Mês","Temp. Máxima","Temp. Média Comp.","Temp. Mínima"
1,30.1,24.9,21.6
2,28.6,23.2,21.4
3,27.6,23.3,20.2
4,29.2,24.6,21.3
5,32,25.3,20.5
6,33.8,27.5,22.4
7,35,27.9,22.1
8,32.8,27.5,23.1
9,30.7,26.5,23.2
10,32,27.6,24
11,32,27.6,24.4
12,33.3,27.6,23.2
13,32.1,27,23.5
14,31.2,26.2,22.3
15,31.2,26.1,21.3
16,35.2,28,22.4
17,36.6,28.3,21.8
18,36.1,28.6,22.2
19,32.9,25.8,20.3
20,31.1,25.7,20.6
21,30.8,25.6,20.5
22,31.3,26.1,21.5
23,32.6,27,21.6
24,32.7,26.1,20.5
25,35.9,26.7,20.7
26,33.1,26.9,21.4
27,38.3,29.2,21.5
28,37.6,28.7,21.3
29,39.1,28.5,20.2
30,38,29.1,21.5
31,37.4,29.1,22.9
