"Dias do Mês","Temp. Máxima","Temp. Média Comp.","Temp. Mínima"
1,38.2,29.4,22.9
2,35.9,28.4,23.6
3,35,27.4,21.7
4,39.8,29.5,22.1
5,30.7,25.1,22.5
6,24.9,21.8,20.3
7,27.6,22.3,18.5
8,25.1,21.8,20.4
9,28.6,23.3,20.1
10,29.5,23.7,18.9
11,30.7,24.3,20.5
12,31.9,25.3,22
13,31.1,25.8,23.7
14,33.7,26.3,22.2
15,28.1,24.3,22.1
16,31.6,25.1,19.7
17,31.9,25.7,22.2
18,32.4,26.7,23
19,29.7,25.1,20.8
20,30.3,25.9,23.1
21,30.1,25.2,21.8
22,28.6,24.9,22.8
23,32.1,24.9,19.5
24,34.5,26.5,20.8
25,27.6,24.4,21.7
26,28.5,24.6,21.7
27,29.8,24.4,21.7
28,32.1,26.2,22.8
