"Dias do Mês","Temp. Máxima","Temp. Média Comp.","Temp. Mínima"
1,30.8,25.8,21.3
2,31.3,26.2,20.8
3,33.6,26.4,20.7
4,36.4,27.1,21.1
5,34,26.7,22.2
6,31.5,26,23.2
7,27.3,23.2,21.3
8,28.2,24,21.2
9,29.6,24.5,20.5
10,28.8,24.3,21
11,31.5,24.8,21.2
12,30.7,25.8,22
13,30,25.9,22.1
14,31.4,26,22.2
15,32.3,26,21.7
16,31.8,25.5,22.4
17,34.7,25.7,18.9
18,35.4,26.6,21.1
19,31.8,26.1,21.6
20,31.9,25.7,21
21,32.6,26,21.1
22,34.3,26.6,20.6
23,31.5,25.1,20
24,33.3,25,20.2
25,31.7,25,19.3
26,32.8,26.6,21.7
27,35.4,26.8,21.7
28,32.3,26.1,20.5
29,36.3,27.3,22.7
30,33.9,26.1,22.2
31,29.7,23.6,19.7
