"Dias do Mês","Temp. Máxima","Temp. Média Comp.","Temp. Mínima"
1,29.2,23.6,17.9
2,28.4,23.5,19.6
3,29.5,23,17.6
4,29,23.8,19.4
5,28,22.5,19
6,29.9,23.1,18.3
7,28,23.1,20.3
8,27.2,22.4,18.1
9,30.1,23.8,18.6
10,31.6,23.1,17.6
11,33.2,23.4,17.2
12,35.5,25.7,17.1
13,26.8,23.5,22
14,27.5,22.5,18.6
15,28,21.4,16.1
16,30,22.2,17.1
17,31.2,22.7,17.6
18,28.9,23.3,19.2
19,28,23.6,20.7
20,26.6,23.4,20.4
21,26.4,22.2,20.4
22,25.1,20.7,18
23,27.5,21,16
24,27.7,21.3,15.9
25,29,22.8,18.2
26,28.2,22.1,18
27,28.1,22.2,19.9
28,27.8,22.4,19.3
29,24.7,20.9,19.3
30,26.4,20.2,15.7
