"Dias do Mês","Temp. Máxima","Temp. Média Comp.","Temp. Mínima"
1,26.9,21,17
2,27.7,21.5,17.5
3,28,21,15.9
4,28.9,21.7,17.3
5,31.9,22.8,17.5
6,32.5,22.4,18
7,24.3,20.8,19
8,23.9,19.9,18.1
9,26,20,16.2
10,26.2,20.1,16.4
11,28.4,20.1,14.7
12,27.4,20.8,16.1
13,24.2,19.7,17.4
14,25.3,19.9,17.4
15,26.3,19.6,15.8
16,26.7,21.2,17.7
17,28.2,21.2,16.1
18,24.2,19.7,16.1
19,25.4,20,16.7
20,25.9,20.6,16.5
21,30.2,22,17.9
22,30.3,22.8,18
23,29.9,23.6,18.3
24,24.8,20.7,18.4
25,24.7,18.7,14.4
26,25.9,19.3,14
27,26.4,21.5,19
28,31.3,23.1,17.5
29,34.5,27.9,20.9
30,25.7,22.3,19.9
31,23.3,20.5,18.4
