"Dias do Mês","Temp. Máxima","Temp. Média Comp.","Temp. Mínima"
1,25,21.1,19.3
2,29.1,21.8,17.8
3,31.5,21.8,16.3
4,28.2,21,16.9
5,28.8,22.5,19
6,30.7,21.9,16.5
7,27.3,20.9,16.6
8,26,21.9,19.2
9,27.7,21.9,19.8
10,27.3,21.8,18.4
11,25,21.2,19.2
12,24.5,19.5,18
13,23,18.4,15.4
14,24.1,18.1,12.9
15,25.8,18.1,13.4
16,24.6,18.9,14.6
17,21.3,18.2,17.2
18,23.9,19,16
19,23.1,19.1,16.1
20,29.7,23.1,17.6
21,23.9,20.5,18.9
22,23.3,18,14.3
23,24,19,16.1
24,25.3,18.1,13.7
25,30.3,20.8,15.1
26,26.8,19.9,15.9
27,29.3,20.8,15.9
28,29,19.7,13
29,22.1,18.7,16.7
30,18.8,16.8,15.3
