"Dias do Mês","Temp. Máxima","Temp. Média Comp.","Temp. Mínima"
1,22.7,15.1,9.7
2,24.7,15.7,9.5
3,27.4,17.5,11.3
4,23.9,18.3,13.6
5,22,16.9,13.6
6,23.9,17.7,14.9
7,23.2,17.9,14.6
8,24.7,17.4,12.5
9,24.8,17.9,13.1
10,26.5,18.8,14.2
11,27.6,18.9,13.7
12,25.4,17.9,12.9
13,26.3,19.4,15.2
14,30.2,20.8,15.4
15,31.9,21.2,15.1
16,26,20.8,15.5
17,23.3,19.6,16.1
18,25,19.8,15.3
19,22.7,18.1,16.6
20,21.4,14,8.4
21,23.1,14.6,9.1
22,24.4,17,11.1
23,26.3,18.8,14.2
24,26.9,18.2,12.4
25,28.8,19.5,12.8
26,30.4,20.9,14
27,32.9,22.1,14.8
28,23.8,18.9,16.9
29,18.9,15.7,12.8
30,20.2,14.4,12.6
31,21.1,15.2,9.5
