generating_institute     gfz-potsdam
     generating_date     2021/08/19
        product_type     topography
                body     earth
           modelname     etopo1-2250
          functional     topography_grd (grid)=>bi-linear interpolation
                unit     meter
          refsysname     WGS84
        radiusrefsys     6378137.000 m
          flatrefsys      3.352810664747480E-03   (1/298.25722356300)
       long_lat_unit     degree
      latlimit_north       14.170000000000    
      latlimit_south      -57.830000000000    
      longlimit_west       276.25000000000    
      longlimit_east       327.25000000000    
            gridstep       1.0000000000000    
  latitude_parallels            73
 longitude_parallels            52
number_of_gridpoints          3796
            gapvalue          99999.0000
       weighted_mean     -1.6588518E+03 meter
            maxvalue      5.2980000E+03 meter
            minvalue     -6.7580000E+03 meter
         signal_wrms      2.4289274E+03 meter
         grid_format     long_lat_value
 
          longitude    latitude    topography_grd
            [deg.]      [deg.]         [meter]
end_of_head ============================================
       276.250000     14.170000      48.00
       277.250000     14.170000      -3.80
       278.250000     14.170000    -728.20
       279.250000     14.170000   -1125.80
       280.250000     14.170000   -2166.60
       281.250000     14.170000   -1660.60
       282.250000     14.170000   -1672.60
       283.250000     14.170000   -4074.00
       284.250000     14.170000   -4122.00
       285.250000     14.170000   -4120.40
       286.250000     14.170000   -4048.40
       287.250000     14.170000   -3919.20
       288.250000     14.170000   -3281.80
       289.250000     14.170000   -3742.60
       290.250000     14.170000   -4628.20
       291.250000     14.170000   -4662.80
       292.250000     14.170000   -5075.60
       293.250000     14.170000   -5051.40
       294.250000     14.170000   -4891.80
       295.250000     14.170000   -3703.80
       296.250000     14.170000   -2167.20
       297.250000     14.170000   -2000.60
       298.250000     14.170000   -2948.40
       299.250000     14.170000    -932.80
       300.250000     14.170000   -2199.40
       301.250000     14.170000   -3705.20
       302.250000     14.170000   -5109.00
       303.250000     14.170000   -5084.00
       304.250000     14.170000   -5190.40
       305.250000     14.170000   -5399.80
       306.250000     14.170000   -5334.60
       307.250000     14.170000   -4992.40
       308.250000     14.170000   -5082.60
       309.250000     14.170000   -4799.20
       310.250000     14.170000   -4218.60
       311.250000     14.170000   -4642.60
       312.250000     14.170000   -3599.40
       313.250000     14.170000   -3609.40
       314.250000     14.170000   -3476.80
       315.250000     14.170000   -2794.20
       316.250000     14.170000   -3915.00
       317.250000     14.170000   -4356.60
       318.250000     14.170000   -4254.60
       319.250000     14.170000   -4583.60
       320.250000     14.170000   -4748.20
       321.250000     14.170000   -5348.80
       322.250000     14.170000   -5262.00
       323.250000     14.170000   -5664.00
       324.250000     14.170000   -5565.40
       325.250000     14.170000   -6074.40
       326.250000     14.170000   -5766.20
       327.250000     14.170000   -5432.00
       276.250000     13.170000      47.60
       277.250000     13.170000     -19.60
       278.250000     13.170000   -1459.40
       279.250000     13.170000   -2102.40
       280.250000     13.170000   -3213.80
       281.250000     13.170000   -3565.20
       282.250000     13.170000   -3875.60
       283.250000     13.170000   -3916.60
       284.250000     13.170000   -3925.00
       285.250000     13.170000   -3991.60
       286.250000     13.170000   -3908.60
       287.250000     13.170000   -2662.00
       288.250000     13.170000   -1840.40
       289.250000     13.170000   -1380.80
       290.250000     13.170000   -2171.00
       291.250000     13.170000   -3649.80
       292.250000     13.170000   -3866.60
       293.250000     13.170000   -5059.60
       294.250000     13.170000   -4801.80
       295.250000     13.170000   -3464.40
       296.250000     13.170000   -1975.80
       297.250000     13.170000   -2947.00
       298.250000     13.170000   -2954.00
       299.250000     13.170000   -1809.60
       300.250000     13.170000    -704.00
       301.250000     13.170000   -2388.60
       302.250000     13.170000   -4092.20
       303.250000     13.170000   -4718.60
       304.250000     13.170000   -4830.20
       305.250000     13.170000   -5047.60
       306.250000     13.170000   -5409.60
       307.250000     13.170000   -5093.40
       308.250000     13.170000   -5020.20
       309.250000     13.170000   -4788.80
       310.250000     13.170000   -5189.20
       311.250000     13.170000   -4121.00
       312.250000     13.170000   -5023.00
       313.250000     13.170000   -3830.20
       314.250000     13.170000   -3836.40
       315.250000     13.170000   -3805.00
       316.250000     13.170000   -3562.60
       317.250000     13.170000   -4056.60
       318.250000     13.170000   -4208.40
       319.250000     13.170000   -4678.80
       320.250000     13.170000   -4553.40
       321.250000     13.170000   -5794.20
       322.250000     13.170000   -5570.80
       323.250000     13.170000   -5670.40
       324.250000     13.170000   -6055.60
       325.250000     13.170000   -5899.80
       326.250000     13.170000   -5749.40
       327.250000     13.170000   -5729.40
       276.250000     12.170000       5.60
       277.250000     12.170000    -138.40
       278.250000     12.170000    -518.60
       279.250000     12.170000   -3240.00
       280.250000     12.170000   -2672.20
       281.250000     12.170000   -3630.40
       282.250000     12.170000   -3827.60
       283.250000     12.170000   -3612.60
       284.250000     12.170000   -3455.40
       285.250000     12.170000   -3680.80
       286.250000     12.170000   -2240.00
       287.250000     12.170000    -250.60
       288.250000     12.170000      55.60
       289.250000     12.170000     -42.40
       290.250000     12.170000    -211.60
       291.250000     12.170000    -949.00
       292.250000     12.170000    -558.00
       293.250000     12.170000   -1391.80
       294.250000     12.170000   -3767.60
       295.250000     12.170000   -2911.60
       296.250000     12.170000    -303.60
       297.250000     12.170000   -2850.00
       298.250000     12.170000    -115.00
       299.250000     12.170000   -1958.80
       300.250000     12.170000   -1444.40
       301.250000     12.170000   -1692.40
       302.250000     12.170000   -3097.20
       303.250000     12.170000   -4448.20
       304.250000     12.170000   -4547.60
       305.250000     12.170000   -4707.00
       306.250000     12.170000   -4816.60
       307.250000     12.170000   -5002.40
       308.250000     12.170000   -5070.00
       309.250000     12.170000   -5220.40
       310.250000     12.170000   -5028.40
       311.250000     12.170000   -4714.20
       312.250000     12.170000   -4848.00
       313.250000     12.170000   -4076.20
       314.250000     12.170000   -4299.00
       315.250000     12.170000   -4063.00
       316.250000     12.170000   -4236.80
       317.250000     12.170000   -3689.60
       318.250000     12.170000   -3716.00
       319.250000     12.170000   -4749.80
       320.250000     12.170000   -5344.80
       321.250000     12.170000   -4708.20
       322.250000     12.170000   -4839.80
       323.250000     12.170000   -4967.00
       324.250000     12.170000   -5790.20
       325.250000     12.170000   -5901.80
       326.250000     12.170000   -5905.60
       327.250000     12.170000   -5840.60
       276.250000     11.170000     -36.80
       277.250000     11.170000   -2168.20
       278.250000     11.170000   -2821.00
       279.250000     11.170000   -3298.20
       280.250000     11.170000   -3451.40
       281.250000     11.170000   -3499.00
       282.250000     11.170000   -3038.20
       283.250000     11.170000   -3136.40
       284.250000     11.170000   -1860.00
       285.250000     11.170000    -120.80
       286.250000     11.170000     171.40
       287.250000     11.170000     276.80
       288.250000     11.170000      -1.20
       289.250000     11.170000      18.20
       290.250000     11.170000     798.80
       291.250000     11.170000     102.80
       292.250000     11.170000   -1518.40
       293.250000     11.170000    -820.20
       294.250000     11.170000    -332.40
       295.250000     11.170000    -131.80
       296.250000     11.170000      -1.60
       297.250000     11.170000     -59.40
       298.250000     11.170000    -156.00
       299.250000     11.170000       8.80
       300.250000     11.170000   -1847.40
       301.250000     11.170000   -1628.80
       302.250000     11.170000   -3307.80
       303.250000     11.170000   -4213.20
       304.250000     11.170000   -4468.80
       305.250000     11.170000   -4643.20
       306.250000     11.170000   -4793.40
       307.250000     11.170000   -4952.00
       308.250000     11.170000   -4972.00
       309.250000     11.170000   -4986.60
       310.250000     11.170000   -4880.00
       311.250000     11.170000   -4926.80
       312.250000     11.170000   -4743.00
       313.250000     11.170000   -5098.80
       314.250000     11.170000   -4805.80
       315.250000     11.170000   -3899.60
       316.250000     11.170000   -4084.80
       317.250000     11.170000   -3858.40
       318.250000     11.170000   -3832.60
       319.250000     11.170000   -4128.80
       320.250000     11.170000   -4545.00
       321.250000     11.170000   -4821.80
       322.250000     11.170000   -4880.40
       323.250000     11.170000   -4959.60
       324.250000     11.170000   -4756.00
       325.250000     11.170000   -5344.00
       326.250000     11.170000   -5138.00
       327.250000     11.170000   -5423.40
       276.250000     10.170000     453.20
       277.250000     10.170000   -1310.60
       278.250000     10.170000   -2681.20
       279.250000     10.170000   -3012.40
       280.250000     10.170000   -2518.20
