generating_institute     gfz-potsdam
     generating_date     2021/08/19
        product_type     topography
                body     earth
           modelname     etopo1-2250
          functional     topography_grd (grid)=>bi-linear interpolation
                unit     meter
          refsysname     WGS84
        radiusrefsys     6378137.000 m
          flatrefsys      3.352810664747480E-03   (1/298.25722356300)
       long_lat_unit     degree
      latlimit_north      -12.820000000000    
      latlimit_south      -26.820000000000    
      longlimit_west       310.71000000000    
      longlimit_east       321.71000000000    
            gridstep       1.0000000000000    
  latitude_parallels            15
 longitude_parallels            12
number_of_gridpoints           180
            gapvalue          99999.0000
       weighted_mean     -1.3367643E+02 meter
            maxvalue      1.2304400E+03 meter
            minvalue     -4.1725600E+03 meter
         signal_wrms      1.3770049E+03 meter
         grid_format     long_lat_value
 
          longitude    latitude    topography_grd
            [deg.]      [deg.]         [meter]
end_of_head ============================================
       310.710000    -12.820000     240.60
       311.710000    -12.820000     314.84
       312.710000    -12.820000     420.56
       313.710000    -12.820000     708.40
       314.710000    -12.820000     711.76
       315.710000    -12.820000     816.68
       316.710000    -12.820000     421.64
       317.710000    -12.820000     705.32
       318.710000    -12.820000     391.72
       319.710000    -12.820000     339.52
       320.710000    -12.820000     195.96
       321.710000    -12.820000      30.80
       310.710000    -13.820000     414.52
       311.710000    -13.820000     582.96
       312.710000    -13.820000    1010.28
       313.710000    -13.820000     802.04
       314.710000    -13.820000     758.08
       315.710000    -13.820000     766.20
       316.710000    -13.820000     455.72
       317.710000    -13.820000     884.36
       318.710000    -13.820000     559.08
       319.710000    -13.820000     556.76
       320.710000    -13.820000     296.12
       321.710000    -13.820000   -2739.32
       310.710000    -14.820000     524.24
       311.710000    -14.820000    1045.52
       312.710000    -14.820000     504.32
       313.710000    -14.820000     848.24
       314.710000    -14.820000     691.48
       315.710000    -14.820000     618.32
       316.710000    -14.820000     486.28
       317.710000    -14.820000     750.32
       318.710000    -14.820000     497.12
       319.710000    -14.820000     734.24
       320.710000    -14.820000      77.84
       321.710000    -14.820000   -2872.44
       310.710000    -15.820000     708.80
       311.710000    -15.820000    1008.64
       312.710000    -15.820000     956.24
       313.710000    -15.820000     610.92
       314.710000    -15.820000     579.52
       315.710000    -15.820000     746.76
       316.710000    -15.820000     541.76
       317.710000    -15.820000     919.32
       318.710000    -15.820000     938.80
       319.710000    -15.820000     245.36
       320.710000    -15.820000      70.76
       321.710000    -15.820000   -1146.04
       310.710000    -16.820000     828.12
       311.710000    -16.820000     918.28
       312.710000    -16.820000     893.68
       313.710000    -16.820000     551.48
       314.710000    -16.820000     482.44
       315.710000    -16.820000     917.64
       316.710000    -16.820000    1018.56
       317.710000    -16.820000     456.76
       318.710000    -16.820000     773.20
       319.710000    -16.820000     492.76
       320.710000    -16.820000      54.68
       321.710000    -16.820000   -2180.64
       310.710000    -17.820000     873.60
       311.710000    -17.820000     782.92
       312.710000    -17.820000     830.24
       313.710000    -17.820000     567.44
       314.710000    -17.820000     780.12
       315.710000    -17.820000    1230.44
       316.710000    -17.820000     817.72
       317.710000    -17.820000     779.96
       318.710000    -17.820000     443.68
       319.710000    -17.820000     202.84
       320.710000    -17.820000       7.24
       321.710000    -17.820000     -19.52
       310.710000    -18.820000     676.88
       311.710000    -18.820000     814.24
       312.710000    -18.820000     925.64
       313.710000    -18.820000     891.52
       314.710000    -18.820000     571.96
       315.710000    -18.820000     652.36
       316.710000    -18.820000     658.48
       317.710000    -18.820000     648.16
       318.710000    -18.820000     494.16
       319.710000    -18.820000     138.20
       320.710000    -18.820000     -33.56
       321.710000    -18.820000     -38.92
       310.710000    -19.820000     551.16
       311.710000    -19.820000     597.16
       312.710000    -19.820000    1060.52
       313.710000    -19.820000    1123.96
       314.710000    -19.820000     732.16
       315.710000    -19.820000     755.76
       316.710000    -19.820000     748.16
       317.710000    -19.820000     520.16
       318.710000    -19.820000     494.48
       319.710000    -19.820000      33.08
       320.710000    -19.820000   -1291.20
       321.710000    -19.820000     -99.92
       310.710000    -20.820000     552.72
       311.710000    -20.820000     527.32
       312.710000    -20.820000     795.12
       313.710000    -20.820000     808.92
       314.710000    -20.820000     978.08
       315.710000    -20.820000    1092.36
       316.710000    -20.820000     813.04
       317.710000    -20.820000     678.52
       318.710000    -20.820000     161.68
       319.710000    -20.820000     -31.28
       320.710000    -20.820000   -2211.84
       321.710000    -20.820000   -3032.84
       310.710000    -21.820000     473.44
       311.710000    -21.820000     594.92
       312.710000    -21.820000     705.00
       313.710000    -21.820000    1055.60
       314.710000    -21.820000     966.36
       315.710000    -21.820000    1038.24
       316.710000    -21.820000     595.44
       317.710000    -21.820000     286.68
       318.710000    -21.820000       7.60
       319.710000    -21.820000     -54.20
       320.710000    -21.820000   -2127.88
       321.710000    -21.820000   -3474.76
       310.710000    -22.820000     631.32
       311.710000    -22.820000     521.24
       312.710000    -22.820000     578.44
       313.710000    -22.820000     923.40
       314.710000    -22.820000     547.12
       315.710000    -22.820000    1072.20
       316.710000    -22.820000      12.28
       317.710000    -22.820000      40.88
       318.710000    -22.820000     -66.60
       319.710000    -22.820000   -1343.00
       320.710000    -22.820000   -2942.84
       321.710000    -22.820000   -3513.80
       310.710000    -23.820000     547.48
       311.710000    -23.820000     648.28
       312.710000    -23.820000    1007.36
       313.710000    -23.820000     399.76
       314.710000    -23.820000     639.36
       315.710000    -23.820000     -90.72
       316.710000    -23.820000    -131.40
       317.710000    -23.820000    -681.52
       318.710000    -23.820000   -1275.88
       319.710000    -23.820000   -2876.00
       320.710000    -23.820000   -3309.12
       321.710000    -23.820000   -3479.60
       310.710000    -24.820000     377.20
       311.710000    -24.820000     758.28
       312.710000    -24.820000     -22.28
       313.710000    -24.820000     -80.80
       314.710000    -24.820000     -96.44
       315.710000    -24.820000    -833.16
       316.710000    -24.820000   -1873.88
       317.710000    -24.820000   -2189.08
       318.710000    -24.820000   -2646.64
       319.710000    -24.820000   -2980.44
       320.710000    -24.820000   -3607.68
       321.710000    -24.820000   -3918.00
       310.710000    -25.820000     935.56
       311.710000    -25.820000     -15.00
       312.710000    -25.820000     -67.20
       313.710000    -25.820000    -148.40
       314.710000    -25.820000    -657.16
       315.710000    -25.820000   -2086.48
       316.710000    -25.820000   -2139.56
       317.710000    -25.820000   -2297.64
       318.710000    -25.820000   -2934.20
       319.710000    -25.820000   -3172.40
       320.710000    -25.820000   -4010.76
       321.710000    -25.820000   -4172.56
       310.710000    -26.820000      95.00
       311.710000    -26.820000     -47.28
       312.710000    -26.820000    -114.76
       313.710000    -26.820000    -521.48
       314.710000    -26.820000   -2242.88
       315.710000    -26.820000   -2593.72
       316.710000    -26.820000   -2445.20
       317.710000    -26.820000   -2453.00
       318.710000    -26.820000   -2655.32
       319.710000    -26.820000   -3716.28
       320.710000    -26.820000   -2405.32
       321.710000    -26.820000   -3700.36
